benchmark,seed,status,tests_passed,total_tests,wall_time_s,tokens_used,total_llm_cost,planner_retries,formulizer_retries,coder_retries,debugger_retries
alkane_isomer_search,42,failed,0,0,192.4,14855,0.0120,0,0,0,0
amplify_benchmark_job_selection,42,failed,0,2,158.8,26292,0.0194,0,0,0,0
aqora_energy_storage_microgrid_siting,42,success,2,2,292.8,26557,0.0193,0,0,0,0
asset_exchange_qubo_plus,42,success,2,2,251.5,23753,0.0182,0,0,0,0
balanced_k_means_clustering,42,failed,0,2,130.5,31993,0.0220,0,0,0,0
bayesian_network_learning,42,failed,0,2,231.8,37539,0.0267,0,0,0,0
bin_packing,42,failed,0,2,383.5,40060,0.0295,0,0,0,0
brain_sparse_coding_qubo,42,failed,0,2,195.2,24378,0.0180,0,0,0,0
capacitated_facility_location,42,failed,0,1,160.5,32570,0.0242,0,0,0,0
clinical_enzyme_target_identification,42,failed,0,0,53.1,10742,0.0085,0,0,0,0
clique_cover,42,failed,0,2,248.4,32363,0.0263,0,0,0,0
cloud_edge_resource_allocation,42,failed,0,0,225.2,21828,0.0177,0,0,0,0
combinatorial_auction_winner_determination,42,failed,0,2,174.8,19707,0.0148,0,0,0,0
community_detection,42,failed,0,2,218.0,24811,0.0190,0,0,0,0
connectome_community_detection,42,failed,1,2,181.5,35470,0.0278,0,0,0,0
core_periphery_partitioning,42,failed,0,2,124.7,21476,0.0164,0,0,0,0
credit_scorecard_selection,42,success,2,2,107.8,20944,0.0153,0,0,0,0
cryptanalysis_prime_factorization,42,failed,0,0,25.3,2897,0.0018,0,0,0,0
cyber_risk_scoring_qubo,42,success,2,2,111.8,18172,0.0120,0,0,0,0
cybersecurity_intrusion_feature_selection,42,failed,0,0,25.6,3200,0.0021,0,0,0,0
database_serializability_verification,42,failed,0,0,90.7,16830,0.0132,0,0,0,0
densest_k_subgraph,42,success,2,2,108.1,20132,0.0156,0,0,0,0
distribution_network_reconfiguration,42,success,2,2,114.1,20943,0.0172,0,0,0,0
dominating_set,42,failed,0,0,97.2,17407,0.0144,0,0,0,0
dynamic_spectrum_allocation,42,success,2,2,107.4,24045,0.0178,0,0,0,0
electronic_structure_eigensolver,42,failed,0,2,91.9,21524,0.0156,0,0,0,0
energy_storage_scheduling,42,failed,0,0,159.0,25928,0.0211,0,0,0,0
exact_cover_by_3_sets,42,success,1,1,160.2,21241,0.0155,0,0,0,0
exam_timetabling_quantum,42,success,3,3,140.1,30013,0.0228,0,0,0,0
facility_location,42,success,2,2,190.3,27337,0.0223,0,0,0,0
feature_selection,42,failed,0,2,92.6,24051,0.0180,0,0,0,0
feedback_arc_set,42,failed,0,0,121.4,20398,0.0154,0,0,0,0
feedback_vertex_set,42,failed,0,0,74.4,13020,0.0102,0,0,0,0
fifo_stack_up,42,failed,0,0,77.8,14136,0.0133,0,0,0,0
finance_fraud_feature_selection,42,failed,0,0,59.9,9368,0.0071,0,0,0,0
fpga_placement,42,failed,0,2,127.0,30699,0.0248,0,0,0,0
fragment_flexible_docking,42,success,2,2,149.2,28057,0.0196,0,0,0,0
generalized_assignment,42,success,1,1,163.4,25549,0.0187,0,0,0,0
genome_assembly,42,failed,0,0,26.5,3632,0.0022,0,0,0,0
graph_bandwidth,42,failed,0,0,192.6,27343,0.0214,0,0,0,0
graph_coloring,42,success,2,2,143.8,22774,0.0161,0,0,0,0
graph_isomorphism,42,failed,0,2,134.7,38003,0.0253,0,0,0,0
hamiltonian_cycle,42,failed,0,0,125.4,19558,0.0148,0,0,0,0
hamiltonian_path,42,failed,0,0,51.2,7897,0.0061,0,0,0,0
hospital_staff_rescheduling,42,failed,0,3,149.4,29458,0.0226,0,0,0,0
image_denoising,42,success,2,2,222.1,25605,0.0202,0,0,0,0
image_segmentation_graph_cut,42,failed,0,2,162.8,23076,0.0182,0,0,0,0
inverse_kinematics,42,success,2,2,214.9,19797,0.0145,0,0,0,0
ionq_trapped_ion_portfolio_decomposition,42,failed,1,2,160.2,25174,0.0180,0,0,0,0
iot_mec_aigc_server_selection,42,failed,0,2,450.0,35155,0.0261,0,0,0,0
iquhack_multi_vehicle_delivery,42,failed,1,2,146.5,24771,0.0189,0,0,0,0
job_shop_scheduling,42,failed,0,0,81.1,13736,0.0115,0,0,0,0
k_medoids_clustering,42,failed,0,2,136.7,26694,0.0216,0,0,0,0
k_sat,42,failed,0,0,112.3,29144,0.0257,0,0,0,0
knapsack,42,failed,0,3,162.1,24389,0.0173,0,0,0,0
legal_document_summarization,42,success,2,2,191.3,25703,0.0192,0,0,0,0
ligand_pose_hotspot_sampling,42,success,3,3,95.9,21392,0.0143,0,0,0,0
llm_cascade_routing,42,success,2,2,129.8,27563,0.0210,0,0,0,0
longest_path,42,failed,0,0,161.1,26004,0.0226,0,0,0,0
mars_satellite_observation_scheduling,42,success,2,2,144.4,28195,0.0230,0,0,0,0
max_2_sat,42,failed,0,0,66.2,15615,0.0134,0,0,0,0
max_clique,42,success,4,4,117.7,21301,0.0153,0,0,0,0
max_cut,42,failed,0,8,62.7,18062,0.0133,0,0,0,0
maximum_independent_set,42,failed,0,0,17.8,2772,0.0017,0,0,0,0
minimum_bisection,42,failed,0,0,88.1,21579,0.0197,0,0,0,0
minimum_multicut_tree,42,failed,0,0,97.5,19574,0.0180,0,0,0,0
molecular_conformation_selection,42,success,2,2,128.1,24217,0.0193,0,0,0,0
n_queens_exact_cover,42,failed,0,0,29.4,3522,0.0024,0,0,0,0
number_partition,42,success,2,2,97.1,20930,0.0153,0,0,0,0
nurse_scheduling,42,success,2,2,150.2,25914,0.0185,0,0,0,0
operating_system_task_scheduling,42,failed,0,3,673.8,97360,0.0777,0,0,0,0
phase_field_correction,42,failed,0,2,69.6,16128,0.0112,0,0,0,0
portfolio_optimization,42,success,2,2,106.2,21910,0.0153,0,0,0,0
protein_lattice_folding,42,success,2,2,179.9,23503,0.0178,0,0,0,0
qseg_remote_sensing_segmentation,42,success,2,2,143.0,24658,0.0198,0,0,0,0
quadratic_assignment,42,failed,0,1,121.8,31312,0.0198,0,0,0,0
quantum_circuit_compilation,42,success,2,2,88.0,18855,0.0141,0,0,0,0
quantum_circuit_routing,42,failed,0,0,95.8,21070,0.0169,0,0,0,0
qubit_allocation,42,failed,1,2,193.3,32021,0.0237,0,0,0,0
railway_dispatching,42,failed,0,2,674.4,91134,0.0730,0,0,0,0
recommender_feature_selection,42,success,2,2,95.5,22825,0.0174,0,0,0,0
resource_constrained_project_scheduling,42,failed,0,2,260.3,47875,0.0355,0,0,0,0
rna_folding,42,success,3,3,96.1,23213,0.0168,0,0,0,0
robot_arm_path_planning,42,failed,0,0,103.5,22705,0.0158,0,0,0,0
sensor_placement_mutual_information,42,success,2,2,99.8,20551,0.0144,0,0,0,0
set_cover,42,success,2,2,148.6,23435,0.0176,0,0,0,0
set_packing,42,success,1,1,92.4,20317,0.0150,0,0,0,0
social_influence_maximization,42,success,2,2,117.2,24389,0.0178,0,0,0,0
steiner_tree,42,failed,0,1,144.6,23475,0.0180,0,0,0,0
stereo_matching,42,success,2,2,159.8,28340,0.0214,0,0,0,0
subset_sum,42,success,1,1,59.8,16434,0.0113,0,0,0,0
supply_chain_allocation,42,failed,0,0,139.9,21325,0.0177,0,0,0,0
support_vector_machine_training,42,failed,0,0,74.8,17227,0.0131,0,0,0,0
top_eigencentrality_nodes,42,failed,0,0,19.2,3124,0.0021,0,0,0,0
traffic_route_assignment,42,failed,0,2,182.9,28288,0.0217,0,0,0,0
travelling_salesman,42,failed,0,0,415.8,100523,0.0942,0,0,0,0
unit_commitment,42,failed,0,0,128.4,25042,0.0209,0,0,0,0
vehicle_routing,42,failed,0,0,82.0,20316,0.0167,0,0,0,0
vertex_cover,42,failed,0,1,135.1,20360,0.0158,0,0,0,0
vlsi_bisection_placement,42,failed,0,2,196.8,26070,0.0192,0,0,0,0
